student_id,subject,concept_id,mastery_score
stu_001,computer_security,memory_layout,0.82
stu_001,computer_security,stack_frame,0.74
stu_001,computer_security,buffer_overflow,0.41
stu_001,computer_security,printf_basics,0.78
stu_001,computer_security,format_string_vulnerability,0.56
stu_001,computer_security,integer_representation,0.85
stu_001,computer_security,integer_overflow,0.47
stu_001,computer_security,safe_c_functions,0.69
stu_001,computer_security,safe_libraries,0.63
stu_001,computer_security,safe_programming_languages,0.72
stu_001,computer_security,software_testing,0.71
stu_001,computer_security,fuzzing,0.38
stu_001,computer_security,authentication,0.84
stu_001,computer_security,authorization_access_control,0.61
stu_001,computer_security,logging_monitoring_auditing,0.52
stu_001,computer_security,confinement,0.44
stu_001,computer_security,virtual_machine_confinement,0.39
stu_001,computer_security,container_confinement,0.42
stu_001,computer_security,reference_monitor,0.35
stu_001,computer_security,hardware_assisted_protection,0.28
stu_001,computer_security,tpm,0.22
stu_001,computer_security,trusted_execution_environment,0.31
stu_002,computer_security,memory_layout,0.76
stu_002,computer_security,stack_frame,0.68
stu_002,computer_security,buffer_overflow,0.52
stu_002,computer_security,printf_basics,0.81
stu_002,computer_security,format_string_vulnerability,0.48
stu_002,computer_security,integer_representation,0.79
stu_002,computer_security,integer_overflow,0.43
stu_002,computer_security,safe_c_functions,0.74
stu_002,computer_security,safe_libraries,0.66
stu_002,computer_security,safe_programming_languages,0.68
stu_002,computer_security,software_testing,0.77
stu_002,computer_security,fuzzing,0.45
stu_002,computer_security,authentication,0.79
stu_002,computer_security,authorization_access_control,0.55
stu_002,computer_security,logging_monitoring_auditing,0.48
stu_002,computer_security,confinement,0.51
stu_002,computer_security,virtual_machine_confinement,0.44
stu_002,computer_security,container_confinement,0.47
stu_002,computer_security,reference_monitor,0.29
stu_002,computer_security,hardware_assisted_protection,0.24
stu_002,computer_security,tpm,0.18
stu_002,computer_security,trusted_execution_environment,0.26
stu_003,computer_security,memory_layout,0.91
stu_003,computer_security,stack_frame,0.88
stu_003,computer_security,buffer_overflow,0.66
stu_003,computer_security,printf_basics,0.92
stu_003,computer_security,format_string_vulnerability,0.72
stu_003,computer_security,integer_representation,0.89
stu_003,computer_security,integer_overflow,0.63
stu_003,computer_security,safe_c_functions,0.85
stu_003,computer_security,safe_libraries,0.80
stu_003,computer_security,safe_programming_languages,0.83
stu_003,computer_security,software_testing,0.88
stu_003,computer_security,fuzzing,0.61
stu_003,computer_security,authentication,0.93
stu_003,computer_security,authorization_access_control,0.81
stu_003,computer_security,logging_monitoring_auditing,0.74
stu_003,computer_security,confinement,0.67
stu_003,computer_security,virtual_machine_confinement,0.59
stu_003,computer_security,container_confinement,0.62
stu_003,computer_security,reference_monitor,0.54
stu_003,computer_security,hardware_assisted_protection,0.48
stu_003,computer_security,tpm,0.41
stu_003,computer_security,trusted_execution_environment,0.45
stu_004,computer_security,memory_layout,0.55
stu_004,computer_security,stack_frame,0.48
stu_004,computer_security,buffer_overflow,0.29
stu_004,computer_security,printf_basics,0.62
stu_004,computer_security,format_string_vulnerability,0.33
stu_004,computer_security,integer_representation,0.58
stu_004,computer_security,integer_overflow,0.31
stu_004,computer_security,safe_c_functions,0.54
stu_004,computer_security,safe_libraries,0.46
stu_004,computer_security,safe_programming_languages,0.51
stu_004,computer_security,software_testing,0.59
stu_004,computer_security,fuzzing,0.27
stu_004,computer_security,authentication,0.67
stu_004,computer_security,authorization_access_control,0.42
stu_004,computer_security,logging_monitoring_auditing,0.35
stu_004,computer_security,confinement,0.31
stu_004,computer_security,virtual_machine_confinement,0.26
stu_004,computer_security,container_confinement,0.29
stu_004,computer_security,reference_monitor,0.21
stu_004,computer_security,hardware_assisted_protection,0.15
stu_004,computer_security,tpm,0.12
stu_004,computer_security,trusted_execution_environment,0.17
stu_005,computer_security,memory_layout,0.69
stu_005,computer_security,stack_frame,0.61
stu_005,computer_security,buffer_overflow,0.37
stu_005,computer_security,printf_basics,0.73
stu_005,computer_security,format_string_vulnerability,0.44
stu_005,computer_security,integer_representation,0.71
stu_005,computer_security,integer_overflow,0.39
stu_005,computer_security,safe_c_functions,0.65
stu_005,computer_security,safe_libraries,0.58
stu_005,computer_security,safe_programming_languages,0.62
stu_005,computer_security,software_testing,0.67
stu_005,computer_security,fuzzing,0.34
stu_005,computer_security,authentication,0.76
stu_005,computer_security,authorization_access_control,0.53
stu_005,computer_security,logging_monitoring_auditing,0.45
stu_005,computer_security,confinement,0.38
stu_005,computer_security,virtual_machine_confinement,0.33
stu_005,computer_security,container_confinement,0.36
stu_005,computer_security,reference_monitor,0.27
stu_005,computer_security,hardware_assisted_protection,0.21
stu_005,computer_security,tpm,0.16
stu_005,computer_security,trusted_execution_environment,0.23
student_01,computer_security,unknown,0.2
